Vendor Name,Vendor Overview,Product Name,Product Description,Legal Functionality,Functionality Sub-Category,Main problem solved,Primary User Segment,Maturity Entry Level,Regions Served,AI Powered,AI Platform Type,Hosting Location,Pricing Model,Demo / Proof of Concept Available,Adoption Level,Ease of Purchase,Deployment Model,Industry Focus,Languages Supported,HQ,Office Locations,Hosting Provider,ISO Certifications,Security & Compliance Certifications,Approx. Price Range (AUD),Customer Reviews,Customer Feedback Rating,Vendor Website,Vendor Contact Details
Actionstep,"Actionstep is a modern, adaptable law firm management platform designed to automate and organize all the work that happens at midsize law firms.",Actionstep,"Actionstep is a cloud-based law firm management software that helps law firms automate and organize their operations, improve productivity, and manage client and firm data.","Matter, Workflow & Intake Management","Practice Management,Legal Accounting,Document Automation",Automates and organizes law firm operations to improve productivity and profitability.,Corporate legal; Private practice,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Demo Available,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,,,,,,,"Positive reviews highlighting efficiency, user-friendliness, and cloud-based advantages.",,https://www.actionstep.com,
Adobe,"Adobe is a leader in digital experiences, providing solutions like Acrobat and Creative Cloud that transform businesses.",Acrobat Sign,"Acrobat Sign is a stand-alone e-signature solution with unlimited seats, robust integrations, industry-ready compliance, and advanced features.",Contracting & Document Automation,"eSignatures,PDF management",Accelerates business workflows with secure eSign and PDF capabilities.,Corporate legal; Private practice; Legal Operations Professionals,Enterprise-grade,North America (US & Canada); Europe (UK & EU); Asia-Pacific (APAC),Yes,Natural Language Processing (NLP) / Text Analytics; Conversational / Copilot Layer,Multi-Region / Distributed Cloud,Subscription (SaaS),Demo Available,Market Leader / Standard,Easy,Cloud (SaaS),Corporate,English + Limited Other Languages,,,Other,,GDPR Compliance (EU),,,,https://www.adobe.com/au/sign.html,Contact Sales via website
Agiloft,"Agiloft provides a Data-first Agreement Platform (DAP) that revolutionizes Contract Lifecycle Management (CLM) with AI integration, designed to manage contracts efficiently across industries and roles.",Data-first Agreement Platform (DAP),"Agiloft’s award-winning Contract Lifecycle Management (CLM) Platform is designed to manage contracts efficiently across industries and roles, with AI integration for contract review.",Contracting & Document Automation,Contract Lifecycle Management,Efficient contract management and automation with AI integration.,Corporate legal; Legal Operations Professionals; Contract Management Teams / Procurement,Enterprise-grade,Global,Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics,Australia,Tiered / Plan-Based,Demo Available,Market Leader / Standard,Moderate,Cloud (SaaS),Corporate,English only,,,,ISO 27001,SOC 2 (Type I or II),,,,https://www.agiloft.com,https://www.agiloft.com/lets-talk/?_gl=1*194d0b7*_up*MQ..*_ga*MjAzOTYzMTMuMTc2MTEwOTQ3NA..*_ga_DD5XWF2GJ0*czE3NjExMDk0NzEkbzEkZzEkdDE3NjExMTAwNDckajYwJGwwJGg2MDg0MjkzNTk.
Annature,"Australia's leading eSignature & Client verification provider, offering secure and efficient eSigning and client verification solutions.",Annature eSignature,A digital signature product providing a quick and secure way to send documents and agreements for electronic signature.,Contracting & Document Automation,eSignature and client verification,"Streamlines digital signing and identity verification processes, making them more efficient and secure.",Corporate legal; Private practice,Quick Win,Australia,No,,Australia,Usage-Based / Consumption,"Free Trial,Demo Available",Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,Australia,,,ISO 27001,,<$10K,,,https://www.annature.com.au,https://www.annature.com.au/pricing?_gl=1*1wc567n*_gcl_au*MTE1MTEzMzMyNC4xNzYwOTUxNDcx#request-quote
BigHand,"BigHand offers technology solutions for busy legal professionals that provide data and insights to increase value and profits for your business, your people and your clients.",BigHand,"BigHand provides solutions for workflow management, document creation, financial productivity, and more, tailored for legal professionals.","Matter, Workflow & Intake Management","Document creation,financial productivity,and business intelligence.","Streamlining legal task delegation, document creation, and financial productivity.",Private practice,Enterprise-Grade,Asia-Pacific (APAC),No,,Australia   ,Subscription (SaaS),Demo Available,Mainstream / Proven,Easy,Cloud (SaaS),Corporate,English only,,,,,,,,,https://www.bighand.com,https://www.bighand.com/en-au/contact-us/
Brightflag,"Brightflag is an AI-powered enterprise legal management platform providing solutions for legal e-billing, spend management, and matter management.",Brightflag,"An AI-powered enterprise legal management platform for in-house teams, offering solutions for legal e-billing, spend management, and matter management.",Legal Operations & Analytics,"Legal e-billing,spend management,and matter management.","Provides visibility into legal work and spend, automates invoice review, and enhances budgeting and financial planning.",Corporate legal; Legal Operations Professionals,Enterprise-grade,"North America (US & Canada); Europe (UK & EU),Australia",Yes,Natural Language Processing (NLP) / Text Analytics,Australia   ,Subscription (SaaS),Demo Available,Mainstream / Proven,Moderate,Cloud (SaaS),Corporate,English only,,,,,,,"Brightflag is praised for its intuitive platform, innovative AI, and excellent customer support.",,https://www.brightflag.com,
Bundledocs,"Bundledocs is a document bundling solution that helps users create electronic bundles, briefs, or binders from anywhere. It is designed to be simple, easy to use, and efficient, with no upfront costs or training needed.",Bundledocs,"Bundledocs allows users to compile document bundles for various purposes, including court bundles, deal bibles, and electronic casebooks. It automatically formats, collates, and paginates documents into a single PDF.","Litigation, Disputes & Investigations",Document bundling for legal briefs and court submissions.,"Automates the creation of document bundles, saving time and reducing manual effort in preparing legal briefs.",Litigation / Disputes Teams; Corporate legal; Government / Public Sector,,Europe (UK & EU); Asia-Pacific (APAC); North America (US & Canada),No,,Europe / UK,Subscription (SaaS),Demo Available,Growing Adoption,Very Easy,Cloud (SaaS),Other / Not Specified,English only,"Core House, Westpoint Business Park, Link Road, Ballincollig, Cork, Ireland, P31 E446",,Azure,,,,,,https://www.bundledocs.com,+353 21 203 1007
Checkbox,"Checkbox is an AI-powered intake and workflow automation platform designed for legal teams to manage requests, gain visibility, and automate manual work.",Checkbox Platform,"Checkbox is an AI-powered platform for legal teams to automate intake, matter management, and reporting, providing a single source of truth and enabling legal teams to focus on strategic work.","Matter, Workflow & Intake Management",Intake and workflow automation for legal teams,"Automates legal intake and workflow processes, providing visibility and control over legal matters.",Corporate legal; Legal Operations Professionals,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; Conversational / Copilot Layer,,Subscription (SaaS),Demo Available,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,,,,,,,,,https://www.checkbox.ai,
Cleardocs,"Cleardocs provides a wide range of current and compliant legal documents online covering Company, Trust and SMSF creation and more. Trusted by over 100,000 customers, our easy to use question interface ensures the document creation process is simple, fast and cost effective.",Cleardocs Document Suite,"Cleardocs provides a comprehensive document suite for legal document creation, including company, trust, and SMSF formations.",Contracting & Document Automation,"Company,Trust,and SMSF document creation",Simplifies the process of creating compliant legal documents quickly and efficiently.,Corporate legal; Private practice,,Australia,No,,,Subscription (SaaS),,Mainstream / Proven,Very Easy,Cloud (SaaS),Corporate,English only,,,,,,,,,https://www.cleardocs.com,
DocuSign,"DocuSign is a market leader in electronic signature and agreement management, trusted by 1.7 million customers.",Intelligent Agreement Management (IAM),"IAM is a platform for creating, managing, and automating agreements with AI-powered tools.",Contracting & Document Automation,"Contract Lifecycle Management,eSignature,Agreement Preparation","Automates and accelerates agreement processes, reducing time and risk.",Corporate legal; Legal Operations Professionals; Contract Management Teams / Procurement,Enterprise-grade,North America (US & Canada); Europe (UK & EU); Asia-Pacific (APAC),Yes,Natural Language Processing (NLP) / Text Analytics; Recommendation & Decision Support Systems,Multi-Region / Distributed Cloud,Subscription (SaaS),Demo Available,Market Leader / Standard,Easy,Cloud (SaaS),Corporate,English only,,,AWS,ISO 27001,GDPR Compliance (EU),,,,https://www.docusign.com,Sales 1-877-720-2040
