Vendor Name,Vendor Overview,HQ,Office Locations,Regions Served,Year Founded,Product Name,Product Description,Languages supported,Legal Functionality – Main Category,Legal Functionality – Sub-Category,Main Problem Solved,Primary User Segment,AI Maturity Stage,Industry Focus,AI Powered,AI Platform,Deployment Model,Hosting Location / Data Residence,Hosting Provider,ISO Certifications,Security & Compliance Certifications,Pricing Model,Approx. Price Range (AUD),Demo / Proof of Concept Available,Adoption Level,Ease of Purchase,Customer Reviews,Customer Feedback Rating,Vendor Contact Details,Vendor Website
Xakia,"Xakia provides a comprehensive legal toolkit designed to simplify legal operations for in-house legal teams, offering features such as matter management, document management, intake and triage, contract management, spend management, and data analytics.",,,,,Xakia,"Xakia is a legal management software that offers matter management, document management, intake and triage, contract management, spend management, and data analytics to streamline legal operations for in-house legal teams.",English only,"Matter, Workflow & Intake Management","Document Management, Contract Management, Spend Management, Data & Analytics","Simplifies and centralizes legal operations, providing insights and efficiency for in-house legal teams.",Corporate legal,,Corporate,No,,Cloud (SaaS),,,,,Subscription (SaaS),,,Growing Adoption,Easy,Positive feedback from legal professionals highlighting time savings and improved efficiency.,,,https://www.xakiatech.com
Lawcadia,"Lawcadia is an award-winning end-to-end legal operations platform that helps corporate and government legal teams achieve greater efficiency, visibility, and control.",,,,,Lawcadia,"An intelligent end-to-end legal operations platform purpose built for in-house legal teams, enhancing collaboration, project management, and accountability.",English only,Legal Operations & Analytics,"Matter Management, Spend Management, Reporting & Analytics","Streamlines intake, triage, workflows, and approvals while maintaining oversight of budgets, law firm engagements, documents, and emails.",Corporate legal; Government / Public Sector,,Corporate,Yes,AI Integration / Orchestration Layer,Cloud (SaaS),,,,,,,Yes,,,,,,https://www.lawcadia.com
Plexus,"Plexus provides AI-powered legal technology solutions, including contract management, matter management, and marketing compliance tools, designed to streamline legal processes and improve efficiency.",,,,,Plexus Legal Suite,"Plexus Legal Suite offers contract management, matter management, and marketing compliance solutions to streamline legal processes and improve efficiency.",English only,Contracting & Document Automation,"Contract Management, Matter Management, Marketing Compliance","Streamlines legal processes, improves efficiency, and ensures compliance in contract and matter management.",Corporate legal,Enterprise-grade,Corporate,Yes,Natural Language Processing (NLP) / Text Analytics,Cloud (SaaS),,,,,Subscription (SaaS),,Yes,Growing Adoption,Easy,The system has just sold itself to the business. It’s taking an average of 18 minutes for an agreement to be generated.,,,https://www.plexus.co
Josef,"Josef provides legal AI tools for contract automation, workflow automation, and AI Q&A, helping legal teams automate processes and improve efficiency.",,,North America (US & Canada); Europe (UK & EU); Asia-Pacific (APAC),,Josef Q,"Josef Q is a no-code platform for creating automated Q&A, contract generation, and workflow tools, enabling legal teams to automate processes and improve efficiency.",English only,Contracting & Document Automation,"AI Q&A, Workflow Automation",Automates legal processes to reduce repetitive tasks and improve efficiency.,Corporate legal; Private practice; Legal Operations Professionals,Enterprise-grade,Corporate,Yes,Conversational / Copilot Layer; Natural Language Processing (NLP) / Text Analytics,Cloud (SaaS),,,,SOC 2 (Type I or II),Subscription (SaaS),,Yes,Growing Adoption,Easy,,,,https://www.joseflegal.com
Checkbox,"Checkbox is an AI-powered intake and workflow automation platform designed for legal teams to manage requests, gain visibility, and automate manual work.",,,,,Checkbox Platform,"Checkbox is an AI-powered platform for legal teams to automate intake, matter management, and reporting, providing a single source of truth and enabling legal teams to focus on strategic work.",English only,"Matter, Workflow & Intake Management",Intake and workflow automation for legal teams,"Automates legal intake and workflow processes, providing visibility and control over legal matters.",Corporate legal; Legal Operations Professionals,Enterprise-grade,Corporate,Yes,Natural Language Processing (NLP) / Text Analytics; Conversational / Copilot Layer,Cloud (SaaS),,,,,Subscription (SaaS),,Yes,Growing Adoption,Easy,,,,https://www.checkbox.ai
Gatekeeper,"Gatekeeper is a unified platform for contracting, managing third-party compliance & spend, powered by AI.",,,,,Gatekeeper,"Gatekeeper is a platform for contract lifecycle management, vendor lifecycle management, and third-party compliance, powered by AI.",,Contracting & Document Automation,"Contract Lifecycle Management, Vendor Lifecycle Management","Reduces vendor risk, accelerates contract processes, and optimizes spend management.",Corporate legal; Legal Operations Professionals; Contract Management Teams / Procurement,Enterprise-grade,Corporate,Yes,Natural Language Processing (NLP) / Text Analytics; AI Integration / Orchestration Layer,Cloud (SaaS),,,,,Subscription (SaaS),,Yes,Growing Adoption,Easy,Gatekeeper is highly rated for its contract management capabilities.,,,https://www.gatekeeperhq.com
LEAP Legal Software,"LEAP Legal Software provides a cloud-based legal practice management solution that integrates document management, legal accounting, and legal publishing.",Australia,,Australia; New Zealand,,LEAP,"LEAP is a cloud-based legal practice management software that integrates document management, legal accounting, and legal publishing.",English only,"Matter, Workflow & Intake Management","Document management, legal accounting, and legal publishing","Provides an integrated solution for managing legal practice, including document management, accounting, and publishing.",Private practice,Enterprise-grade,Corporate,Yes,Natural Language Processing (NLP) / Text Analytics,Cloud (SaaS),Australia,,,,Subscription (SaaS),,Yes,Mainstream / Proven,Easy,,,sales@leap.com.au,https://www.leap.com.au
LEAP Legal Software,"LEAP Legal Software provides a cloud-based legal practice management solution that integrates document management, legal accounting, and legal publishing.",Australia,,Australia; New Zealand,,LEAP,"LEAP is a cloud-based legal practice management software that integrates document management, legal accounting, and legal publishing.",English only,"Matter, Workflow & Intake Management","Document Management, Legal Accounting, Legal Publishing","Provides an integrated solution for managing legal practice, including document management, accounting, and publishing.",Private practice,Enterprise-grade,Corporate,Yes,Natural Language Processing (NLP) / Text Analytics,Cloud (SaaS),Australia,,,,Subscription (SaaS),,Yes,Mainstream / Proven,Easy,,,sales@leap.com.au,https://www.leap.com.au
Actionstep,"Actionstep is a modern, adaptable law firm management platform designed to automate and organize all the work that happens at midsize law firms.",,,,,Actionstep,"Actionstep is a cloud-based law firm management software that helps law firms automate and organize their operations, improve productivity, and manage client and firm data.",English only,"Matter, Workflow & Intake Management","Practice Management, Legal Accounting, Document Automation",Automates and organizes law firm operations to improve productivity and profitability.,Corporate legal; Private practice,Advanced,Corporate,Yes,Natural Language Processing (NLP) / Text Analytics,Cloud (SaaS),,,,,Subscription (SaaS),,Yes,Growing Adoption,Easy,"Positive reviews highlighting efficiency, user-friendliness, and cloud-based advantages.",,,https://www.actionstep.com
iManage,"iManage is a knowledge work platform that helps organizations manage documents and emails more efficiently, protect vital information assets, and use knowledge to drive better business outcomes.",,,,,iManage Platform,The iManage Platform is a cloud-native knowledge work platform that enhances productivity and mitigates risk with AI built-in natively.,,"Knowledge, Search & Precedent Management","Document & Email Management, Security & Governance, Risk & Compliance, Legal Transaction Management, Task & Workflow Management","Improves productivity, protects information assets, and uses knowledge to drive better business outcomes.",Corporate legal; Private practice; Compliance & Risk Teams,Enterprise-grade,Corporate,Yes,Natural Language Processing (NLP) / Text Analytics; AI Integration / Orchestration Layer,Cloud (SaaS),Multi-Region / Distributed Cloud,Other,,,,,Yes,Mainstream / Proven,Moderate,,,,https://www.imanage.com
